Species,State
Agapostemon_splendens,"1
    "
Agapostemon_angelicus,"2
    "
Agapostemon_texanus,"(1 2)
    "
Agapostemon_virescens,"2
    "
Agapostemon_sericeus,"1
    "
Agapostemon_nasutus,"2
    "
Ruizantheda_mutabilis,"2
    "
Ruizantheda_proxima,"2
    "
Thrinchostoma_torridum,"(1 2)
    "
Halictus_confusus,"(2 3)
    "
Halictus_tumulorum,"3
    "
Halictus_aerarius,"3
    "
Halictus_kessleri,"3
    "
Halictus_subauratus,"3
    "
Halictus_tripartitus,"3
    "
Halictus_ligatus,"3
    "
Halictus_poeyi,"3
    "
Halictus_quadricinctus,"2
    "
Halictus_fulvipes,"3
    "
Halictus_scabiosae,"3
    "
Halictus_sexcinctus,"3
    "
Halictus_farinosus,"3
    "
Halictus_rubicundus,"(2 3)
    "
Thrincohalictus_prognathus,"1
    "
Lasioglossum_albipes,"3
    "
Lasioglossum_calceatum,"3
    "
Lasioglossum_duplex,"3
    "
Lasioglossum_nigripes,"3
    "
Lasioglossum_apristum,"3
    "
Lasioglossum_laticeps,"3
    "
Lasioglossum_malachurum,"3
    "
Lasioglossum_comagenense,"2
    "
Lasioglossum_baleicum,"3
    "
Lasioglossum_nupricola,"2
    "
Lasioglossum_oenotherae,"1
    "
Lasioglossum_lusorium,"2
    "
Lasioglossum_umbripenne,"3
    "
Lasioglossum_imitatum,"3
    "
Lasioglossum_tenax,"2
    "
Lasioglossum_versatum,"3
    "
Lasioglossum_obscurum,"3
    "
Lasioglossum_lineatulum,"3
    "
Lasioglossum_sordidum,"2
    "
Lasioglossum_lustrans,"(1 2)
    "
Lasioglossum_ohei,"2
    "
Lasioglossum_villosulum,"2
    "
Lasioglossum_marginatum,"3
    "
Lasioglossum_politum,"3
    "
Lasioglossum_zonulum,"1
    "
Lasioglossum_scitulum,"(1 2 3)
    "
Lasioglossum_majus,"2
    "
Lasioglossum_mutilum,"(1 2 3)
    "
Lasioglossum_leucozonium,"1
    "
Lasioglossum_occidens,"1
    "
Lasioglossum_cognatum,"1
    "
Lasioglossum_erythrurum,"2
    "
Lasioglossum_hemichalceum,"2
    "
Lasioglossum_lanarium,"2
    "
Lasioglossum_sphecodoides,"2
    "
Lasioglossum_laevigatum,"1
    "
Sphecodes_pimpinellae,"4
    "
Sphecodes_crassus,"4
    "
Augochlora_pura,"2
    "
Augochlora_phoemonoe,"3
    "
Augochlorella_aurata,"(1 3)
    "
Augochlorella_persimilis,"3
    "
Megalopta_genalis,"(2 3)
    "
Megalopta_amoena,"(2 3)
    "
Megalopta_atra,"(1 2)
    "
Xenochlora_ianthina,"(2 3)
    "
Xenochlora_nigrofemorata,"(2 3)
    "
Augochloropsis_metallica,"2
    "
Augochloropsis_sparsilis,"2
    "
Corynura_patagonica,"2
    "
Dieunomia_nevadensis,"1
    "
Dieunomia_triangulifera,"1
    "
Lipotriches_australica,"2
    "
Nomia_chalybeata,"(1 2)
    "
Nomia_melanderi,"1
    "
Nomia_tetrazonata,"2
    "
Pseudapis_oxybeloides,"2
    "
Dufourea_novaeangliae,"1
    "
Dufourea_malacothricis,"1
    "
Dufourea_mulleri,"1
    "
Dufourea_trochantera,"1
    "
Rophites_canus,"1
    "
Rophites_hartmanni,"1
    "
Systropha_curvicornis,"1
    "
Systropha_planidens,"1
    "
Conanthalictus_conanthi,"1
    "
Xeralictus_bicuspidariae,"1
    "
