,Full Name,No. of foundresses,Sociality,Nest type,Brood provisioning,Seasonality,Diapause
0,Anthophora_abrupta,1,solitary,ground,mass,seasonal,prepupal
1,Anthophora_pacifica,1,solitary,,,seasonal,adult
2,Anthophora_plumipes,1,solitary,ground,mass,seasonal,
3,Anthophora_edwardsii,1,solitary,ground,mass,seasonal,adult
4,Amegilla_dawsoni,1,solitary,ground,mass,seasonal,prepupal
5,Habropoda_miserabilis,1,solitary,ground,mass,seasonal,adult
6,Habropoda_laboriosa,single,solitary,ground,mass,seasonal,
7,Brachynomada_roigi,,kleptoparasite,,,seasonal,prepupal
8,Kelita_toroi,,kleptoparasite,,,seasonal,prepupal
9,Ericrocis_lata,,kleptoparasite,,,seasonal,prepupal
10,Epeolus_pusillus,,kleptoparasite,,,seasonal,prepupal
11,Epeolus_compactus,,kleptoparasite,,,seasonal,prepupal
12,Leiopodus_singularis,,kleptoparasite,,,seasonal,prepupal
13,Xylocopa_virginica,1-8,solitary/semisocial,,,seasonal,adult
14,Xylocopa_combusta,multiple,semisocial/primitively eusocial,stem/wood,,seasonal,
15,Xylocopa_pubescens,multiple,subsocial/semisocial/primitively eusocial,stem/wood,progressive,seasonal,adult
16,Xylocopa_sulcatipes,1-2,subsocial/semisocial/primitively eusocial,stem/wood,mass,seasonal,adult
17,Xylocopa_aeratus,multiple,subsocial/semisocial,stem/wood,progressive,seasonal,adult
18,Xylocopa_bombylans,multiple,subsocial/semisocial,stem/wood,progressive,seasonal,adult
19,Xylocopa_suspecta,multiple,subsocial/semisocial/primitively eusocial,stem/wood,progressive,seasonal,none
20,Xylocopa_frontalis,multiple,subsocial/semisocial/primitively eusocial,stem/wood,progressive,seasonal,none
21,Xylocopa_grisescens,multiple,subsocial/semisocial/primitively eusocial,stem/wood,,seasonal,none
22,Xylocopa_imitator,1,subsocial,stem/wood,mass,,
23,Xylocopa_nigrita,multiple,subsocial/semisocial,stem/wood,mass,,
24,Xylocopa_flavorufa,1,subsocial,stem/wood,mass,,
25,Xylocopa_torrida,1,subsocial,stem/wood,mass,,
26,Xylocopa_violacea,1,solitary,stem/wood,mass,seasonal,
27,Manuelia_postica,1-3,solitary/communal,stem/wood,mass,seasonal,adult
28,Exoneura_robusta,1-8,subsocial/semisocial,,,seasonal,adult
29,Exoneura_bicolor,multiple,subsocial/semisocial/communal,stem/wood,progressive,seasonal,adult
30,Exoneurella_tridentata,,semisocial/primitively eusocial?,stem/wood,progressive,seasonal,none
31,Exoneurella_eremophila,multiple,subsocial/semisocial/primitively eusocial/communal,stem/wood,progressive,seasonal,adult
32,Exoneurella_setosa,multiple,subsocial/semisocial/primitively eusocial/communal,stem/wood,progressive,seasonal,adult
33,Exoneurella_lawsoni,1,subsocial/primitively eusocial?,stem/wood,progressive,seasonal,adult
34,Braunsapis_vitrea,,subsocial/semisocial/primitively eusocial?,stem/wood,,seasonal,none
35,Braunsapis_puangensis,multiple,subsocial/semisocial/primitively eusocial/communal,stem/wood,progressive,seasonal,none
36,Braunsapis_sauteriella,1-3,subsocial/semisocial/primitively eusocial,stem/wood,progressive,seasonal,adult
37,Ceratina_japonica,1,primitively eusocial,,,seasonal,adult
38,Ceratina_flavipes,1,subsocial,,,seasonal,adult
39,Ceratina_iwatai,1,subsocial,,,seasonal,adult
40,Ceratina_okinawana,1,subsocial/primitively eusocial,,,seasonal,adult
41,Ceratina_calcarata,1,primitively eusocial,,progressive,seasonal,adult
42,Ceratina_australensis,1-2,subsocial/semisocial,stem/wood,mass,seasonal,adult
43,Ceratina_chalybea,1,subsocial,stem/wood,mass,seasonal,adult
44,Tetrapedia_diversipes,1,solitary,stem/wood,mass,seasonal,prepupal
45,Tetrapedia_curvitarsis,1,solitary,stem/wood,mass,seasonal,prepupal
46,Tetrapedia_rugulosa,1,solitary,stem/wood,mass,seasonal,prepupal
47,Tetrapedia_garofaloi,1,solitary,stem/wood,mass,seasonal,prepupal
48,Ctenoplectra_armata,1,solitary,stem/wood,,,prepupal
49,Canephorula_apiformis,1,solitary,ground,,seasonal,prepupal
