taxon,state
Ampulicidae,3
Andrenidae,1
Apidae,1
Argidae,0
Aulacidae,3
Bembicidae,3
Bethylidae,3
Braconidae,3
Bradynobaenidae,?
Cephidae,0
Ceraphronidae,3
Chalcidoidea,1&3
Chrysididae,3
Chyphotidae,3
Colletidae,1
Crabronidae,3
Cynipidae_ss,1
Diapriidae_sl,3
Diplolepidini,1
Dryinidae,3
Embolemidae,3
Eschatocerini,1
Evaniidae,2
Figitidae_sl,3
Formicidae,1&2
Gasteruptiidae,2
Halictidae,1
Heloridae,3
Heterogynaidae,?
Ichneumonidae,3
Megachilidae,1
Megalyridae,3
Megaspilidae,3
Melittidae,1
Monomachidae,3
Mutillidae,3
Mymarommatidae,?
Myrmosidae,3
Orussidae,3
Pamphiliidae,0
Paralaucini,3
Pediaspidini,1
Pelecinidae,3
Pemphredonidae,3
Pergidae,0
Philanthidae,3
Platygastridae_sl,3
Plumariidae,?
Pompilidae,3
Proctotrupidae,3
Rhopalosomatidae,3
Roproniidae,3
Sapygidae,3
Sclerogibbidae,3
Scoliidae,3
Sierolomorphidae,3
Siricidae,0
Sphecidae,3
Stenotritidae,1
Stephanidae,3
Tenthredinidae_sl,0
Thynnidae,3
Tiphiidae,3
Trigonalidae,3
Vanhorniidae,3
Vespidae,1&2
Xiphydriidae,0
Xyelidae,0
