taxon,state
Ampulicidae,1
Andrenidae,0
Apidae,0
Argidae,0
Aulacidae,1
Bembicidae,1
Bethylidae,1
Braconidae,1
Bradynobaenidae,?
Cephidae,0
Ceraphronidae,1
Chalcidoidea,1&0
Chrysididae,1
Chyphotidae,1
Colletidae,0
Crabronidae,1
Cynipidae_ss,0
Diapriidae_sl,1
Diplolepidini,0
Dryinidae,1
Embolemidae,1
Eschatocerini,0
Evaniidae,0
Figitidae_sl,1
Formicidae,0
Gasteruptiidae,0
Halictidae,0
Heloridae,1
Heterogynaidae,?
Ichneumonidae,1
Megachilidae,0
Megalyridae,1
Megaspilidae,1
Melittidae,0
Monomachidae,1
Mutillidae,1
Mymarommatidae,?
Myrmosidae,1
Orussidae,1
Pamphiliidae,0
Paralaucini,1
Pediaspidini,0
Pelecinidae,1
Pemphredonidae,1
Pergidae,0
Philanthidae,1
Platygastridae_sl,1
Plumariidae,?
Pompilidae,1
Proctotrupidae,1
Rhopalosomatidae,1
Roproniidae,1
Sapygidae,1
Sclerogibbidae,1
Scoliidae,1
Sierolomorphidae,1
Siricidae,0
Sphecidae,1
Stenotritidae,0
Stephanidae,1
Tenthredinidae_sl,0
Thynnidae,1
Tiphiidae,1
Trigonalidae,1
Vanhorniidae,1
Vespidae,0
Xiphydriidae,0
Xyelidae,0
