generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.66749,-5305.14,1,0
10000,4,22.4665,-4018.26,1.73042,0.268333
20000,5,31.25,-3995.41,1.9257,0.263
30000,5,24.5936,-3986.99,2.1037,0.222
40000,6,30.0026,-3940.12,4.08692,0.283833
50000,5,21.1317,-3929.57,7.58703,0.258
60000,11,46.5044,-3901.61,6.40052,0.236
70000,7,36.0234,-3887.87,2.71387,0.278333
80000,6,30.8627,-3884.14,3.20334,0.243
90000,13,54.5881,-3871.07,6.716,0.271
100000,12,54.8955,-3874.1,4.81595,0.258
110000,12,53.6413,-3863.4,4.85687,0.263
120000,12,53.3245,-3862.01,4.55556,0.25525
130000,11,49.9624,-3866.97,7.96432,0.25
140000,13,65.9581,-3865.75,7.26442,0.284
150000,10,50.3208,-3853.21,4.81415,0.271
160000,6,25.5313,-3895.47,3.22516,0.23
170000,6,24.2739,-3904.3,3.03468,0.21
180000,6,23.8315,-3878.71,4.82963,0.177
190000,11,47.4679,-3844.95,8.26529,0.249143
200000,9,40.8677,-3838.92,5.43192,0.2
210000,4,19.5054,-3914.65,1.42634,0.227286
220000,9,41.1964,-3846.91,4.81545,0.22
230000,10,45.4361,-3865.33,5.55123,0.262
240000,8,29.138,-3849.03,6.67191,0.221
250000,9,38.4704,-3849.36,2.66644,0.226
260000,9,38.4661,-3859.85,5.63802,0.252
270000,10,45.1275,-3865.83,5.65235,0.2535
280000,10,46.2386,-3860,3.69454,0.248857
290000,9,40.6894,-3856.89,2.06906,0.16225
300000,5,22.7356,-3879.62,2.37272,0.2246
310000,6,22.6096,-3850.38,5.70616,0.166375
320000,8,29.6956,-3841.28,2.19911,0.203
330000,7,32.0071,-3846.49,4.8101,0.246
340000,8,36.4316,-3871.04,4.20495,0.28
350000,7,33.304,-3857.49,4.32363,0.244
360000,7,30.0157,-3847.74,5.94396,0.240063
370000,9,38.276,-3873.12,7.43558,0.275667
380000,6,28.6013,-3849.91,2.7537,0.166
390000,11,46.7437,-3843.07,5.36751,0.279
400000,5,21.4167,-3869.42,2.16095,0.188
410000,6,24.7153,-3865.71,5.14431,0.2059
420000,8,37.2827,-3831.4,6.27811,0.202
430000,7,33.5587,-3857.62,3.26078,0.22468
440000,8,40.3509,-3833.65,6.35715,0.217
450000,6,31.1328,-3873.5,2.37059,0.237
460000,8,40.1333,-3832.99,3.26246,0.2165
470000,6,28.101,-3872.86,4.88452,0.269
480000,11,48.0981,-3841.51,6.96028,0.295
490000,10,49.0641,-3826.8,5.31566,0.268
500000,7,31.3157,-3855.89,5.6603,0.235
510000,6,27.1256,-3858.34,3.62576,0.221
520000,6,31.4459,-3856.37,1.79485,0.177
530000,6,25.7168,-3853.68,4.91314,0.1965
540000,5,22.7778,-3872.17,2.93026,0.212727
550000,7,32.506,-3860.14,2.90828,0.222875
560000,6,27.9069,-3863.95,2.54435,0.223556
570000,6,27.2313,-3862.4,3.24747,0.222
580000,7,34.6568,-3852.87,2.00647,0.196
590000,7,31.715,-3837.66,3.17343,0.188
600000,8,40.4416,-3856.25,5.07479,0.279
610000,10,46.4793,-3833.13,4.99427,0.237
620000,7,26.5967,-3861.27,2.84831,0.232
630000,10,46.5515,-3830.73,5.32685,0.224
640000,7,27.5927,-3859.5,3.75599,0.228
650000,9,39.0983,-3857.07,5.58452,0.2668
660000,6,26.5023,-3868.79,2.68586,0.187
670000,8,39.2577,-3833.94,4.87242,0.195
680000,7,32.9856,-3863.48,2.73886,0.23348
690000,9,43.5105,-3829.09,4.85095,0.196
700000,7,27.7526,-3833.79,5.87917,0.1845
710000,9,43.6184,-3839.96,4.13488,0.228
720000,7,35.6489,-3869.41,2.75236,0.233154
730000,8,43.6564,-3836.56,2.11498,0.237
740000,10,52.545,-3852.59,4.10233,0.269
750000,7,29.0523,-3857.52,0.941409,0.213
760000,8,32.6764,-3850.66,4.45615,0.228609
770000,11,43.7949,-3824.88,5.84186,0.265
780000,8,34.8502,-3843.12,4.69158,0.259
790000,8,36.3117,-3838.74,6.69571,0.235
800000,10,50.8002,-3824.09,5.02774,0.258
810000,9,39.5266,-3824.33,8.27772,0.269
820000,6,26.0921,-3855.42,4.39659,0.202
830000,9,39.2021,-3831.69,5.33558,0.207
840000,8,36.1911,-3836.37,5.28029,0.211286
850000,9,43.5899,-3828.26,5.5472,0.213
860000,10,46.8206,-3823.44,5.17358,0.2375
870000,12,54.3251,-3826,5.76045,0.249
880000,7,26.003,-3859.36,3.38726,0.2045
890000,7,33.267,-3855.83,2.39867,0.2205
900000,7,30.6228,-3849.76,2.62459,0.245
910000,9,38.803,-3852.76,3.79532,0.281
920000,7,29.8867,-3837.51,3.17509,0.224
930000,8,38.2197,-3851.26,3.61474,0.26
940000,8,36.7954,-3835.89,3.68433,0.261
950000,8,32.0085,-3826.75,5.36264,0.196
960000,6,24.2352,-3855.4,2.42674,0.203833
970000,12,48.1743,-3800.74,8.21654,0.214
980000,11,47.8486,-3801.99,5.95564,0.187375
990000,11,51.6315,-3800.1,4.33002,0.205
1000000,10,40.2395,-3803.07,10.8462,0.223
1010000,8,34.8602,-3856.99,5.87267,0.267
1020000,11,49.2084,-3799.95,5.61064,0.202
1030000,7,23.5022,-3840.69,6.20722,0.2092
1040000,7,29.3287,-3856.93,4.66246,0.25
1050000,7,32.0179,-3842.29,2.7057,0.2173
1060000,9,41.4291,-3833.66,3.33008,0.233
1070000,9,38.701,-3810.58,5.07034,0.196
1080000,11,43.9695,-3801.69,8.3191,0.166
1090000,8,38.6642,-3850.49,2.23719,0.237
1100000,12,50.0775,-3794.48,7.70593,0.227
1110000,13,54.4653,-3799.44,6.60327,0.224
1120000,14,68.6107,-3826.96,7.93537,0.296909
1130000,7,27.2057,-3855.28,2.21065,0.244375
1140000,13,61.3433,-3792.69,3.7222,0.257
1150000,15,59.5973,-3780.05,9.33704,0.213
1160000,6,23.9554,-3840.86,5.85587,0.205
1170000,11,50.2005,-3831.85,3.9127,0.268
1180000,10,39.526,-3845.51,5.34116,0.237
1190000,12,52.5559,-3788.46,6.3831,0.256
1200000,12,48.2346,-3787.12,11.7182,0.257
1210000,12,46.6211,-3787.85,8.08695,0.238
1220000,7,27.2726,-3837.97,4.79174,0.201182
1230000,8,31.4836,-3858.24,5.55475,0.240581
1240000,14,56.3152,-3783.74,11.8444,0.243
1250000,9,33.1912,-3851.5,2.8956,0.217235
1260000,11,43.9057,-3795.21,8.10996,0.214545
1270000,11,47.6335,-3791.83,5.08695,0.214
1280000,11,45.2227,-3793.68,8.67126,0.232857
1290000,13,57.3844,-3801.54,6.85701,0.21
1300000,9,39.4803,-3845.3,5.31189,0.245
1310000,11,45.7204,-3789.81,7.47646,0.210889
1320000,9,45.2749,-3841.33,4.38755,0.24
1330000,7,32.4187,-3836.48,2.66346,0.231
1340000,9,39.9011,-3845.61,7.68909,0.24
1350000,10,51.7551,-3842.49,2.85821,0.269
1360000,12,50.6296,-3789.29,7.61383,0.195
1370000,8,33.0219,-3827.3,3.22701,0.207417
1380000,8,32.2531,-3848.66,5.79895,0.256824
1390000,14,64.6867,-3781.41,7.56034,0.233
1400000,7,25.2546,-3857.24,4.76271,0.231722
1410000,14,63.5433,-3791.08,7.42528,0.249
1420000,13,57.8589,-3783.69,8.31053,0.205
1430000,13,56.6847,-3784.62,6.16638,0.241
1440000,13,63.2716,-3785.6,6.98881,0.247625
1450000,13,59.4786,-3786.72,8.44242,0.219
1460000,15,62.7022,-3779.45,10.5934,0.217333
1470000,15,72.7648,-3780.52,5.91871,0.275
1480000,14,71.0719,-3772.43,4.51747,0.257
1490000,15,69.3838,-3774.17,9.848,0.253
1500000,13,64.0303,-3781,4.55969,0.227
1510000,13,58.6868,-3788.85,8.55693,0.253
1520000,7,30.7253,-3856.09,4.0172,0.222
1530000,15,64.0793,-3786.64,12.3809,0.255
1540000,15,69.0384,-3777.18,6.89032,0.263
1550000,18,80.1255,-3760.81,7.08983,0.254
1560000,9,41.9367,-3835.89,4.93948,0.240447
1570000,17,76.9532,-3779.75,10.0673,0.271333
1580000,16,75.6272,-3779.43,8.79308,0.295
1590000,14,66.3812,-3787.55,8.25597,0.275
1600000,17,75.7462,-3784.39,10.6912,0.277
1610000,16,77.3507,-3786.45,9.06041,0.2705
1620000,14,61.1126,-3784.27,10.781,0.24
1630000,9,36.1424,-3828.83,5.15807,0.227875
1640000,13,60.992,-3787.7,6.34875,0.248
1650000,14,64.6796,-3785.06,9.86668,0.253
1660000,6,26.6082,-3841.64,1.90605,0.147
1670000,6,26.0752,-3834.53,1.49509,0.1495
1680000,18,84.5844,-3768.55,12.227,0.251
1690000,16,78.4012,-3771.72,9.50113,0.26
1700000,15,70.1988,-3768.94,7.33076,0.231
1710000,15,69.7525,-3768.83,4.8384,0.244
1720000,16,71.556,-3775.31,12.197,0.24525
1730000,9,42.4801,-3823.27,4.06526,0.233
1740000,14,64.3903,-3776.98,6.90207,0.24
1750000,6,24.823,-3848.91,1.76551,0.1855
1760000,6,23.8262,-3838.64,2.57875,0.173
1770000,10,43.2378,-3821.56,5.45605,0.221
1780000,14,57.8507,-3772.33,6.70872,0.2394
1790000,14,58.1965,-3780.59,7.72971,0.267
1800000,16,60.3026,-3773.91,8.45663,0.237
1810000,9,36.1921,-3837.28,4.52017,0.216
1820000,14,54.6445,-3779.63,7.20945,0.238
1830000,14,66.2121,-3779.11,4.83822,0.261
1840000,14,63.5564,-3777.81,8.27127,0.253
1850000,7,23.6934,-3837.28,3.42286,0.16013
1860000,8,36.2293,-3827.51,5.16472,0.219
1870000,8,27.0066,-3840.56,3.2465,0.181417
1880000,17,63.0882,-3755.42,13.1488,0.233
1890000,17,72.9848,-3778.08,8.02232,0.268
1900000,18,77.2991,-3774.07,5.61929,0.283
1910000,14,57.266,-3781.5,7.14539,0.239
1920000,11,43.7233,-3817.99,7.05763,0.275
1930000,16,64.3774,-3773.34,11.1002,0.2438
1940000,9,38.4724,-3815.83,6.2987,0.257545
1950000,10,37.2081,-3823.89,6.53929,0.225
1960000,14,59.4153,-3767.8,5.044,0.254
1970000,6,21.6825,-3831.51,3.76802,0.178
1980000,15,66.3642,-3765.54,7.09541,0.255
1990000,9,35.1621,-3829.48,5.7895,0.204
2000000,16,60.0432,-3772.92,9.2372,0.247
2010000,14,55.5803,-3778.03,5.572,0.23
