generation,N_shifts,logPrior,logLik,eventRate,acceptRate
0,0,5.6832,-5329.65,1,0
10000,1,8.48067,-4114.66,0.161955,0.273473
20000,2,11.5824,-4012.2,0.945078,0.259
30000,1,5.54133,-4078.06,0.629627,0.285
40000,5,19.6688,-3966.79,4.75769,0.296
50000,4,10.8611,-3965.48,4.09109,0.26
60000,3,10.2845,-3975.57,1.64846,0.246
70000,6,21.0987,-3918.64,3.68474,0.225
80000,7,28.1861,-3908.92,4.11799,0.258
90000,6,22.5786,-3944.88,5.80543,0.295
100000,4,11.6154,-3920.4,2.32941,0.227
110000,4,21.4017,-3943.83,2.93271,0.284
120000,5,21.7391,-3919,2.59253,0.2535
130000,5,21.2741,-3920.56,4.28278,0.253
140000,9,34.0002,-3910.08,6.64094,0.306
150000,4,17.6384,-3893.89,2.15599,0.247667
160000,6,25.7074,-3909.26,3.9566,0.2936
170000,3,17.3552,-3946.75,1.46934,0.251
180000,5,20.6984,-3916.76,3.04902,0.285667
190000,5,18.7554,-3893.94,3.90553,0.232
200000,8,43.4897,-3921.52,4.16274,0.291
210000,5,19.2888,-3907.49,3.86072,0.273581
220000,5,23.2268,-3927.69,1.58553,0.246
230000,4,14.231,-3909.05,4.20928,0.250538
240000,7,32.1216,-3877.22,2.04738,0.28
250000,7,35.3908,-3899.84,3.77473,0.241
260000,8,36.7696,-3870.09,3.52995,0.28
270000,7,31.3947,-3859.75,4.29252,0.248
280000,8,35.9535,-3855.36,5.60642,0.227
290000,7,34.0965,-3858.49,2.68209,0.254
300000,6,29.4208,-3859.82,2.1654,0.236
310000,6,24.0751,-3864.58,3.68347,0.231
320000,4,17.1691,-3876.04,2.52396,0.21
330000,7,31.8775,-3858.85,7.16404,0.237
340000,9,41.9168,-3854.73,4.19121,0.289
350000,9,41.2069,-3850.23,2.82376,0.287
360000,6,22.5365,-3867.91,4.78855,0.283
370000,8,33.1962,-3846.47,6.19947,0.269
380000,6,27.2901,-3853.61,2.70424,0.234857
390000,5,23.8974,-3859.46,1.69988,0.208
400000,7,30.1789,-3845.61,4.85489,0.258
410000,6,26.9895,-3874.12,2.6225,0.246846
420000,7,27.628,-3873.2,1.43575,0.282
430000,7,28.3386,-3857.64,6.31545,0.228571
440000,7,32.0988,-3864.74,4.91817,0.253385
450000,5,23.0789,-3854.23,2.41727,0.205
460000,8,37.2799,-3864.7,5.83573,0.291
470000,7,33.2954,-3865.3,2.9467,0.278125
480000,8,41.8632,-3850.42,4.14244,0.232
490000,6,31.2608,-3861.2,2.4225,0.197
500000,7,31.5587,-3851.24,6.11784,0.219
510000,9,41.1595,-3851.95,7.63654,0.262
520000,10,50.7098,-3848.04,5.1659,0.307
530000,8,35.8443,-3842.35,3.64196,0.231667
540000,9,40.7901,-3845.72,5.63152,0.25575
550000,8,35.4556,-3843.32,6.18708,0.258
560000,8,32.2615,-3856.31,5.6316,0.274
570000,5,23.7669,-3878.53,1.52167,0.214
580000,6,25.4819,-3870.46,4.22161,0.228
590000,7,26.0592,-3859.76,4.61611,0.235
600000,5,18.6703,-3852.7,4.09298,0.2106
610000,5,16.2203,-3852.82,4.8737,0.201
620000,6,26.6079,-3877,6.05794,0.296
630000,5,23.0189,-3880.26,2.65617,0.188
640000,5,24.1752,-3877.66,2.8977,0.177
650000,4,18.9624,-3882.69,1.96786,0.1837
660000,5,18.9402,-3854.55,1.9397,0.186
670000,5,19.85,-3865.85,3.7375,0.192
