0.8395	
Ampulex_compressa_BND1382	AMPU	0.005
Andrena_asteris_HPG17	ANDR	0.00137
Andrena_nigroaenea_BND531	ANDR	0.00137
Macrotera_echinocacti_BND1092	ANDR	0.00137
Protoxaea_gloriosa_BND217	ANDR	0.00137
Bombus_pennsylvanicus_HPG16	APID	0.00209
Centris_rhodopus_BND615	APID	0.00209
Ceratina_duplex_calcarta_BND657	APID	0.00209
Ctenoplectra_rodhaini_BND984	APID	0.00209
Ericrocis_lata_BND1100	APID	0.00209
Eulaema_meriana_ML179	APID	0.00209
Exoneura_bicolor_BND682	APID	0.00209
Manuelia_gayatina_BND1255	APID	0.00209
Pachymelus_peringueyi_BND986	APID	0.00209
Plebeina_hildebrandti_BND992	APID	0.00209
Thyreus_delumbatus_BND988	APID	0.00209
Xylocopa_virginica_BND1158	APID	0.00209
Arge_humeralis_USNMENT01339627	ARGI	0.00334
Atomacera_decepta_USNMENT01339630	ARGI	0.00334
Schizocerella_lineata_USNMENT01322224	ARGI	0.00334
Aulacus_burquei_USNMENT01339672	AULA	0.01081
Pristaulacus_stigmaterus_USNMENT01322229	AULA	0.01081
Bembix_americana_EX446	BEMB	0.00177
Microbembex_cubana_EX445	BEMB	0.00177
Sphecius_hogardii_EX447	BEMB	0.00177
Epyris_sp1_EX562	BETH	0.00116
Goniozus_sp1_EX555	BETH	0.00116
Pristocerus_sp1_EX552	BETH	0.00116
Acanthocaudus_bicolor_USNMENT01322505	BRAC	0.00772
Acrisis_sp1_USNMENT01322601	BRAC	0.00772
Adelius_sp_nr_fasciipennis_USNMENT01322246	BRAC	0.00772
Ademon_sp1_USNMENT01322504	BRAC	0.00772
Adialytus_sp1_USNMENT01322467	BRAC	0.00772
Agathis_sp1_USNMENT01322249	BRAC	0.00772
Alabagrus_sp3_USNMENT01322247	BRAC	0.00772
Aleiodes_sp1_USNMENT01322233	BRAC	0.00772
Aliolus_spA_USNMENT01322550	BRAC	0.00772
Alysia_sp1_USNMENT01322532	BRAC	0.00772
Apanteles_sp4_USNMENT01322237	BRAC	0.00772
Aphaereta_sp_megalops_USNMENT01322462	BRAC	0.00772
Aphidius_sp4_USNMENT01322235	BRAC	0.00772
Aridelus_sp1_USNMENT01322471	BRAC	0.00772
Ascogaster_provancheri_USNMENT01322454	BRAC	0.00772
Asobara_sp1_USNMENT01322533	BRAC	0.00772
Aspilota_sp2_USNMENT01322446	BRAC	0.00772
Atanycolus_sp_hicoriae_USNMENT01322499	BRAC	0.00772
Aulacodes_nigriventris_USNMENT01322459	BRAC	0.00772
