taxon,n.taxa
Ampulicidae,200
Andrenidae,2917
Apidae,5749
Argidae,897
Aulacidae,185
Bembicidae,1693
Bethylidae,2588
Braconidae,19439
Bradynobaenidae,123
Cephidae,160
Ceraphronidae,304
Chalcidoidea,22783
Embolemidae,39
Chrysididae,2500
Chyphotidae,65
Colletidae,2547
Crabronidae,4836
Cynipidae_ss,1341
Diapriidae_sl,2077
Diplolepidini,62
Dryinidae,1605
Eschatocerini,3
Evaniidae,449
Figitidae_sl,1744
Formicidae,12199
Gasteruptiidae,496
Halictidae,4327
Heloridae,10
Heterogynaidae,8
Ichneumonidae,24281
Megachilidae,4096
Megalyridae,43
Megaspilidae,299
Melittidae,187
Monomachidae,30
Mutillidae,4302
Mymarommatidae,10
Myrmosidae,50
Orussidae,90
Pamphiliidae,291
Paralaucini,6
Pediaspidini,2
Pelecinidae,3
Pemphredonidae,536
Pergidae,442
Philanthidae,1145
Platygastridae_sl,5385
Plumariidae,22
Pompilidae,4855
Proctotrupidae,403
Rhopalosomatidae,72
Roproniidae,20
Sapygidae,66
Sclerogibbidae,20
Scoliidae,560
Sierolomorphidae,11
Siricidae,111
Sphecidae,724
Stenotritidae,21
Stephanidae,342
Tenthredinidae_sl,5682
Thynnidae,1000
Tiphiidae,1000
Trigonalidae,92
Vanhorniidae,5
Vespidae,4932
Xiphydriidae,146
Xyelidae,63
